,config,scene,role,cmd_mode,cmd,role rec method,cmd rec method,stamp,object id,object class,estimated role,estimated command
47,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995070.0294952,1,person,teammate,none
48,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995071.029397,1,person,teammate,none
49,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995072.029397,1,person,teammate,none
50,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995073.0293941,1,person,teammate,none
51,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995074.0294042,1,person,teammate,none
52,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995075.0293891,1,person,teammate,none
53,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995076.029384,1,person,teammate,none
54,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995076.962726,1,person,teammate,none
55,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995077.96273,1,person,teammate,none
56,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995079.0293598,1,person,teammate,none
57,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995079.9960182,1,person,teammate,none
58,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995080.9960117,1,person,teammate,none
59,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995081.9960127,1,person,teammate,none
60,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720995081.9960127,1,person,teammate,none
61,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720995081.9960127,1,person,teammate,none
62,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994448.9670317,0,person,supervisor,none
63,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994450.0337048,0,person,supervisor,none
64,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994451.133686,0,person,supervisor,none
65,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994452.0670385,0,person,supervisor,none
66,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994453.067027,0,person,supervisor,none
67,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994454.1670277,0,person,supervisor,none
68,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994455.033628,0,person,supervisor,none
69,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994456.1336083,0,person,supervisor,none
70,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994457.066938,0,person,supervisor,none
71,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994458.1002834,0,person,supervisor,none
72,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994459.1002698,0,person,supervisor,none
73,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994460.0336003,0,person,supervisor,none
74,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994461.0669332,0,person,supervisor,none
75,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994462.1669261,0,person,supervisor,none
76,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994463.133593,0,person,supervisor,none
77,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994464.0335445,0,person,supervisor,none
78,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994465.0335183,0,person,supervisor,none
79,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994466.1002555,0,person,supervisor,none
80,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994467.0001853,0,person,supervisor,none
81,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994468.0668519,0,person,supervisor,none
82,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994469.100184,0,person,supervisor,none
83,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994470.0668492,0,person,supervisor,none
84,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994471.1334972,0,person,supervisor,none
85,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994472.0668337,0,person,supervisor,none
86,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994473.0001557,0,person,supervisor,none
87,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994474.133486,0,person,supervisor,follow-me
88,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994475.0001507,0,person,supervisor,none
89,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994476.0668185,0,person,supervisor,none
90,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994476.3334768,0,person,supervisor,none
91,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994476.3334768,0,person,supervisor,none
92,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994650.3319395,0,person,supervisor,none
93,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994651.9319203,0,person,supervisor,none
94,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994653.098614,0,person,supervisor,none
95,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994654.0319257,0,person,supervisor,none
96,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994655.0652647,0,person,supervisor,none
97,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994656.098601,0,person,supervisor,none
98,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994657.065268,0,person,supervisor,none
99,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994658.0985904,0,person,supervisor,none
100,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994659.0652757,0,person,supervisor,none
101,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994660.065154,0,person,supervisor,none
102,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994661.0651033,0,person,supervisor,none
103,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994662.1651595,0,person,supervisor,none
104,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994663.0318244,0,person,supervisor,none
105,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994664.098498,0,person,supervisor,rally
106,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994664.9984996,0,person,supervisor,none
107,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994666.0651667,0,person,supervisor,none
108,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994667.1318166,0,person,supervisor,none
109,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994668.065142,0,person,supervisor,none
110,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994669.0984788,0,person,supervisor,none
111,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994670.0318754,0,person,supervisor,none
112,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994671.0984457,0,person,supervisor,none
113,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994672.0984702,0,person,supervisor,none
114,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994673.1319306,0,person,supervisor,none
115,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994674.0984824,0,person,supervisor,none
116,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994675.131806,0,person,supervisor,none
117,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994676.0983403,0,person,supervisor,none
118,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994677.0316606,0,person,supervisor,none
119,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,rally,artag,verbal,1720994678.0649948,0,person,supervisor,none
120,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994678.4983397,0,person,supervisor,none
121,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994678.4983397,0,person,supervisor,none
122,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994545.0661633,0,person,supervisor,none
123,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994546.1661627,0,person,supervisor,none
124,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994547.1661541,0,person,supervisor,none
125,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994548.166156,0,person,supervisor,none
126,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994549.1328356,0,person,supervisor,none
127,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994550.1660893,0,person,supervisor,none
128,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994551.066082,0,person,supervisor,none
129,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994552.199428,0,person,supervisor,none
130,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994553.0327666,0,person,supervisor,none
131,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994554.0661566,0,person,supervisor,none
132,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994555.1660914,0,person,supervisor,none
133,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994556.1661086,0,person,supervisor,none
134,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994557.09943,0,person,supervisor,none
135,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994558.0993752,0,person,supervisor,none
136,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994559.1327128,0,person,supervisor,none
137,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994560.166038,0,person,supervisor,none
138,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994561.1660473,0,person,supervisor,none
139,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994562.0660503,0,person,supervisor,none
140,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994563.1327143,0,person,supervisor,none
141,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994564.099378,0,person,supervisor,none
142,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994565.0992975,0,person,supervisor,none
143,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994566.1993003,0,person,supervisor,none
144,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994567.1659658,0,person,supervisor,none
145,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994568.1992812,0,person,supervisor,none
146,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994569.1659558,0,person,supervisor,none
147,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994570.1993017,0,person,supervisor,none
148,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994571.0992863,0,person,supervisor,none
149,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,halt,artag,verbal,1720994572.1326103,0,person,supervisor,none
150,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994593.899046,0,person,supervisor,none
151,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994595.2323816,0,person,supervisor,none
152,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994596.1657045,0,person,supervisor,none
153,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994597.1990347,0,person,supervisor,none
154,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994598.1656942,0,person,supervisor,none
155,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994599.232308,0,person,supervisor,none
156,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994600.0990171,0,person,supervisor,none
157,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994601.1323628,0,person,supervisor,none
158,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994602.099037,0,person,supervisor,none
159,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994603.1656957,0,person,supervisor,none
160,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994604.0989692,0,person,supervisor,none
161,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994605.165637,0,person,supervisor,none
162,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994606.1656327,0,person,supervisor,none
163,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994607.132297,0,person,supervisor,none
164,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994608.1656358,0,person,supervisor,none
165,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994609.2323024,0,person,supervisor,none
166,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994610.1322978,0,person,supervisor,none
167,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994611.1656265,0,person,supervisor,none
168,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994612.1654997,0,person,supervisor,none
169,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994613.165504,0,person,supervisor,none
170,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994614.2321618,0,person,supervisor,none
171,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994615.1655064,0,person,supervisor,none
172,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994615.9988194,0,person,supervisor,none
173,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994617.0988307,0,person,supervisor,none
174,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994618.198827,0,person,supervisor,none
175,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994619.165494,0,person,supervisor,none
176,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994620.0988297,0,person,supervisor,none
177,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,advance,artag,verbal,1720994621.165509,0,person,supervisor,none
178,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,attention,artag,verbal,1720994621.8988352,0,person,supervisor,none
179,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,attention,artag,verbal,1720994621.8988352,0,person,supervisor,none
180,config/exp2_cfgs/exp2_ar_role_verbal_cmd.yaml,lab,supervisor,verbal,attention,artag,verbal,1720994621.8988352,0,person,supervisor,none
